cut,ggHyyd,Zjets,Zgamma,Wgamma,Wjets,gammajet_direct,data23,S/sqrt(B),S/sqrt(S+B),S/sqrt(S+1.3B),ZBi (σ_b=30%)
LOAD,2.29e+04,1.74e+06,3.1e+05,5.68e+05,3.97e+06,1.73e+08,2.13e+08,1.157,1.157,1.015,-0.199
CUT 1 (preprocessing),8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_mu_baseline==0,8732.756,6.74e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.640,0.640,0.561,-0.199
n_el_baseline==0,8732.756,1.99e+05,2.5e+05,4.28e+05,2.81e+06,1.46e+08,3.62e+07,0.641,0.641,0.562,-0.199
n_tau_baseline==0,8630.402,1.96e+05,2.4e+05,3.95e+05,2.78e+06,1.43e+08,3.55e+07,0.639,0.639,0.560,-0.199
trigger==1,2584.305,6059.204,1.1e+05,9.75e+04,2.74e+05,6.37e+06,7.73e+06,0.677,0.677,0.593,-0.198
ph_pt>50GeV,2578.163,6016.867,1.1e+05,9.72e+04,2.72e+05,6.35e+06,7.67e+06,0.677,0.677,0.594,-0.198
MET>100GeV,568.633,775.327,5.42e+04,4.02e+04,5.05e+04,9.48e+05,1.01e+06,0.392,0.392,0.344,-0.198
n_jet_central<=3,491.889,681.041,5.11e+04,3.56e+04,4.62e+04,9.06e+05,8.57e+05,0.357,0.357,0.313,-0.198
140>mT>100GeV,290.678,34.804,1156.575,2327.195,3585.151,1.05e+04,2.73e+04,1.373,1.368,1.201,-0.177
VertexBDTScore>0.1,268.245,16.828,1002.699,1992.714,3077.472,4023.637,1.33e+04,1.751,1.741,1.529,-0.161
met_tst_sig>7,229.917,3.858,842.496,1593.363,1910.402,111.789,2643.627,2.728,2.684,2.363,-0.091
ph_eta<1.74,201.350,2.956,656.599,1191.684,1042.559,42.373,1860.896,2.907,2.848,2.510,-0.059
dphi_met_phterm>1.23,192.589,2.855,561.565,1094.036,976.069,42.373,1455.071,2.996,2.929,2.582,-0.044
dmet>-21GeV,191.513,1.949,556.491,1059.250,954.319,9.491,1340.386,3.058,2.986,2.633,-0.037
dphi_jj_central<2.37,182.217,1.455,488.120,939.952,874.446,6.838,1139.150,3.102,3.023,2.667,-0.024
dphi_met_jetterm<0.73,181.287,1.455,482.068,927.400,870.639,6.667,1117.512,3.106,3.027,2.670,-0.023
